ra	dc
237.791	-56.4704
237.794	-56.4801
237.791	-56.4854
237.788	-56.4869
279.985	5.03879
140.103	-55.2062
236.971	-62.5713
262.932	-16.9655
264.749	-44.4506
170.323	-60.6248
230.177	-57.1633
287.872	0.542471
287.809	0.654616
287.789	0.649231
287.778	0.642863
287.818	0.58063
224.621	-31.7339
274.005	-14.0314
256.437	-36.425
270.282	-25.0836
270.381	-20.533
270.304	-25.7458
263.952	-30.4783
267.695	-31.271
267.558	-37.0487
278.936	-32.988
26.6094	61.7553
26.6093	61.7554
345.296	58.8694
345.296	58.8694
134.371	-41.8426
31.3921	64.8384
280.315	-4.95326
280.318	-4.95479
197.092	21.3899
225.965	-41.8545
311.58	30.984
314.053	30.3104
148.847	69.0161
257.958	-39.6041
258.819	-39.9649
84.4503	-69.1768
272.472	-23.546
311.811	30.0944
69.2978	-47.1891
69.3152	-47.2568
134.699	-45.1152
135.033	-45.8452
110.109	-31.4336
272.166	-20.4211
81.5243	-66.0817
281.604	-2.99292
125.496	-43.0035
125.434	-43.0244
182.513	-52.432
164.507	-52.4422
270.253	-24.8462
228.476	-59.1398
336.452	65.5856
257.428	-44.4781
257.425	-44.4924
83.6333	22.0093
83.6334	22.0094
94.2312	22.3217
70.3665	-2.85944
70.3672	-2.86067
70.366	-2.86638
70.364	-2.87299
176.528	47.4923
176.511	47.485
83.6332	22.0112
83.6335	22.0113
83.635	22.0102
83.6306	22.01
83.6349	22.01
77.3312	-67.6658
76.4721	-67.8881
77.3315	-67.529
83.9627	-66.0199
272.87	-19.4411
272.872	-19.4412
67.73	64.8303
64.0717	-55.7946
192.156	-5.77043
190.909	11.5449
23.4568	30.6692
23.3632	30.5394
226.613	1.60314
338.994	33.9917
11.8387	-25.2163
55.0492	-18.5704
157.173	68.479
204.282	-29.8898
35.5936	42.3468
49.3207	-41.0983
54.4349	-5.03954
190.488	32.5302
198.858	-16.3786
54.6564	-23.063
228.578	36.603
43.2198	-1.2848
349.948	42.842
186.258	12.8799
154.558	41.4624
143.486	55.2435
201.52	-42.9491
189.423	11.8118
192.71	41.1158
206.18	55.9044
184.748	47.2976
14.3293	-22.3898
211.586	22.3873
15.5644	-27.3226
24.3071	-39.7786
44.2048	-33.266
121.112	64.9895
130.183	36.5678
131.401	34.3517
170.831	1.62097
189.588	17.8535
192.313	-5.98026
235.991	53.9936
140.295	45.657
35.7862	42.9872
69.2683	29.6604
280.443	79.8052
166.73	72.5704
194.244	4.45178
346.19	3.18633
184.84	5.81738
156.977	-43.8964
206.891	12.2999
214.501	25.1407
126.861	29.3217
143.138	79.1176
87.6751	-32.2747
271.716	69.8344
302.355	-48.8365
330.684	42.273
350.971	42.1788
356.774	51.7005
80.7461	-36.4619
248.186	82.548
157.82	50.8937
184.463	30.1143
44.1117	-1.329
161.237	36.9294
198.047	23.3273
239.129	35.3016
359.983	-12.6994
14.4425	30.3543
32.4172	35.7887
53.5816	39.3472
119.612	37.7775
180.776	44.5325
155.885	19.8795
357.075	0.975951
107.17	-49.5524
340.659	29.7373
196.37	-49.4645
14.2684	14.8198
172.525	-14.833
203.349	16.8429
169.677	40.4216
233.729	23.498
17.3618	35.7074
172.006	78.9979
267.367	70.1548
93.894	71.0302
179.879	29.2417
41.0067	-1.57741
42.2271	18.0368
159.106	-3.71534
164.481	45.9214
199.422	35.5181
218.837	30.9542
220.87	27.405
186.448	33.5379
88.0426	-7.46486
39.6638	16.6261
42.8906	43.264
220.53	35.435
249.197	41.0265
242.585	54.5567
302.961	-56.7642
229.182	7.01267
227.725	5.76325
51.8332	-53.4999
52.5925	-52.5314
258.176	64.0642
235.019	-3.29187
250.089	46.7298
359.275	-34.7618
175.193	-26.5053
67.5964	-61.445
230.488	7.75605
73.5578	-10.2726
73.553	-2.98183
154.283	39.0628
10.4421	-9.3744
330.519	-31.9704
223.168	58.0489
218.123	-1.09983
43.6649	41.6634
155.906	4.16674
179.994	55.5624
341.859	3.66488
28.2048	-13.9394
85.7046	-40.9809
168.226	-26.2614
345.698	8.75322
54.6651	10.0073
204.5	29.4935
193.292	-9.16872
351.337	-12.1358
32.4051	-10.2059
137.366	11.0162
152.13	11.7614
152.562	-12.6843
132.229	44.9098
325.058	-23.6783
6.63259	17.1819
213.933	11.4995
68.4032	-13.2499
186.736	33.5377
205.037	27.7188
210.781	54.3662
35.9709	42.213
67.9313	-5.43631
156.474	47.2372
186.936	44.3583
227.593	7.69922
297.755	56.1655
304.594	11.654
184.343	37.7809
43.9588	19.5032
266.78	-28.4419
266.582	-28.8715
245.895	-26.5462
267.213	-20.3795
287.734	-59.9629
280.993	-4.07502
273.627	-17.1615
44.7271	19.5807
176.529	47.4725
5.97695	-72.073
5.97716	-72.073
5.97696	-72.0729
5.977	-72.0728
189.152	62.2448
161.21	-52.4242
290.77	5.0766
24.7042	8.68595
201.406	-43.065
186.515	12.972
163.196	57.4607
256.144	78.5984
189.267	62.2151
189.267	62.2146
16.0159	-72.0332
11.8919	-25.2978
244.408	-51.02
172.982	-34.612
275.127	-16.175
298.477	44.4103
10.8975	-17.9821
154.906	19.8743
2.06457	51.3787
271.101	-24.3524
274.684	-13.8029
237.463	-3.92689
250.052	-23.9145
253.663	-36.9091
244.255	-22.9904
326.169	38.3217
117.135	-67.7597
26.6088	61.7589
287.958	4.98133
287.952	4.98524
275.918	-30.3656
275.917	-30.3653
19.3059	-73.4447
19.3054	-73.4448
19.3056	-73.4449
19.3055	-73.4452
19.301	-73.4483
19.3004	-73.4484
19.2401	-73.439
19.2402	-73.4389
194.078	56.8738
133.003	-46.3373
132.999	-46.2897
266.843	-28.1927
303.961	37.2325
350.857	58.8113
88.7575	-68.0084
244.349	-50.9271
81.3584	-65.9854
286.886	7.10538
308.643	60.1331
83.8455	-69.2758
77.2754	-68.725
350.871	58.8158
256.045	51.7769
223.05	43.0281
148.979	69.6798
116.883	-19.2899
256.049	78.6258
83.8773	-69.2665
53.1221	-27.8062
28.2553	1.01752
69.7942	7.29459
130.362	70.8986
358.762	28.631
260.02	26.5849
248.989	66.1605
308.103	40.9529
24.6834	8.6789
24.6396	8.68297
24.6192	8.67802
337.411	-20.8433
327.981	-30.4699
24.7217	8.69261
163.183	57.4841
350.857	58.8101
69.8059	7.2385
116.88	-19.2992
299.596	35.1993
49.9568	41.4698
28.2187	0.966588
128.843	-45.1778
201.697	-47.4734
154.526	41.4489
256.081	78.668
83.81	-5.39326
280.993	-4.07567
85.1853	-1.95759
190.661	-11.3194
192.231	-41.3201
266.414	-29.0121
344.717	-34.829
177.752	-28.8133
124.881	70.7145
10.115	40.6654
10.1127	40.6742
10.5351	40.918
10.534	40.925
10.6872	41.2649
10.6859	41.2731
11.0309	41.7171
11.0304	41.7253
11.3345	41.8259
11.3349	41.8333
10.6684	41.2789
10.6285	40.9657
10.7801	41.3213
181.75	43.0647
187.642	41.6539
10.6638	40.8563
10.6838	41.2589
10.693	41.2608
10.6971	41.2825
10.6636	40.9228
10.7555	41.275
189.987	-11.6436
161.962	12.6031
211.709	34.1893
189.917	-5.33997
253.24	2.39285
155.88	19.869
154.08	-33.5438
196.963	6.68702
291.839	65.5687
5.09962	15.7016
136.386	34.1517
184.61	29.815
213.318	-3.19933
275.489	64.3413
201.361	-43.0197
201.361	-43.0194
96.506	82.0501
12.4503	32.2876
41.5808	-30.2842
68.2976	5.34455
68.2973	5.36403
153.558	3.45733
154.256	73.403
155.855	19.8912
182.388	42.5347
184.73	47.2968
186.438	12.6543
188.851	14.5013
188.867	12.2272
202.459	47.1908
220.752	52.035
226.634	55.7709
252.778	4.98497
324.44	-14.5584
329.303	-69.6882
63.6567	5.56855
137.869	5.85667
169.576	7.77452
216.149	22.9308
340.129	3.34854
25.7659	13.6121
26.8877	27.3055
123.679	49.0926
133.184	33.4467
169.748	13.1159
182.666	30.4208
186.639	31.2369
267.411	70.1215
172.112	58.5736
38.1476	-21.2867
127.932	52.7631
328.033	-27.5403
128.747	55.5909
202.011	-31.4982
125.265	7.88341
195.921	-24.2648
233.221	30.3293
211.871	-27.0387
155.925	4.20439
160.167	39.9688
243.956	-6.20279
44.3184	-23.3913
109.334	37.7198
177.37	22.3515
215.902	24.047
132.55	36.1234
170.203	23.4029
178.791	23.364
185.38	49.2527
197.895	-1.28636
231.153	10.0132
233.229	30.2957
248.972	66.2514
314.098	-4.684
348.515	-42.7129
63.3621	10.4373
189.266	62.2176
53.1197	-27.8123
162.265	57.7041
162.274	57.4543
162.278	57.2042
162.732	57.9542
162.736	57.4541
162.737	57.7041
162.74	57.2042
162.744	56.9542
163.203	56.9542
163.203	57.2042
163.203	57.4542
163.203	57.7042
163.203	57.9542
163.661	56.9542
163.67	57.4542
163.67	57.7042
163.674	57.9542
163.89	57.7042
163.915	57.2042
164.128	57.2043
164.132	57.4541
334.368	0.252648
346.889	-22.6596
348.104	-21.528
158.652	57.6203
158.502	57.7702
158.334	57.621
230.175	-57.1708
169.532	48.0314
193.1	-29.2533
299.862	40.7427
132.229	44.9098
290.681	4.8761
166.108	38.1999
166.112	38.2041
23.4621	30.6651
182.612	10.4166
65.7046	60.3713
65.8009	60.4032
65.8989	60.4362
65.9959	60.468
66.098	60.5024
66.1947	60.5345
66.293	60.5679
182.473	10.7293
182.493	10.6832
182.513	10.6394
182.532	10.5945
182.552	10.5501
182.572	10.5054
182.592	10.4611
130.35	70.8928
161.006	-52.4436
187.702	12.382
350.169	7.18135
350.089	7.22828
350.009	7.2754
349.93	7.32095
348.852	7.94408
348.769	7.9907
348.689	8.03638
348.607	8.08202
348.522	8.1302
349.639	7.49005
349.558	7.53726
349.48	7.58233
349.397	7.63077
349.314	7.67857
349.229	7.72741
349.146	7.77514
349.063	7.82285
272.165	-20.421
81.2518	-69.6458
84.4387	-69.1686
182.632	10.3725
182.652	10.3284
182.672	10.2845
182.691	10.2408
182.711	10.1969
182.731	10.1534
182.751	10.1096
237.739	-56.4858
237.736	-56.4849
31.4046	64.8187
69.3196	-47.2481
125.496	-43.0047
128.842	-45.1753
34.521	42.5411
10.6735	41.2555
350.857	58.8099
255.142	-26.9628
61.6625	19.9981
229.494	-6.9335
3.07354	50.4216
251.831	32.4647
67.8864	18.1349
167.534	-76.578
295.796	23.7308
53.2317	-9.46305
38.9448	34.6834
221.521	15.1298
86.6839	0.0623797
132.847	11.8264
97.97	4.92896
98.1699	4.71313
98.3212	4.57894
98.572	4.46341
85.4431	-1.91992
54.1994	0.583534
24.7612	-17.9537
14.7626	-72.1743
91.961	-6.38068
276.913	-3.83547
219.743	64.2952
341.694	44.3321
26.0215	-15.9287
315.613	27.8161
324.738	57.4845
324.737	57.4847
161.68	-49.4144
192.917	27.5478
357.412	36.4328
306.855	37.3756
169.549	31.5382
14.1675	60.7253
86.6808	-71.1395
325.684	43.5836
343.827	-3.17852
271.863	45.855
85.8855	-68.3689
282.229	0.583189
98.9137	-62.6325
322.491	12.1705
291.143	50.2506
230.167	-57.1707
230.167	-57.1706
230.167	-57.1706
264.737	-30.3141
140.623	-63.2946
265.985	-29.7533
299.896	20.811
10.671	41.2673
201.093	-63.2279
268.097	-31.6608
268.389	-23.8557
271.641	-22.2841
274.65	14.3994
270.303	-25.7454
53.742	53.1644
251.446	-45.6096
251.446	-45.6096
257.249	-44.1134
257.249	-44.1138
322.863	47.2805
135.541	-40.5578
135.541	-40.5577
135.541	-40.5577
260.906	-37.6667
266.79	-28.8795
250.24	-53.743
287.956	4.98727
287.956	4.98729
287.956	4.98729
170.32	-60.6204
288.801	10.9721
288.785	10.9687
288.778	10.929
255.198	-41.6443
337.293	61.2248
125.529	-42.6426
125.842	-42.7031
126.048	-42.9141
350.917	58.7938
171.158	-59.2763
286.807	9.32611
238.588	-55.0409
293.761	-52.8554
81.5018	-66.0671
283.998	1.32543
225.604	-41.7856
243.784	-50.7031
314.301	31.055
162.525	-59.8897
257.193	-40.1504
281.224	-2.94134
238.055	-56.3368
128.842	-45.1773
83.8945	-69.2701
70.3688	-2.85474
70.3621	-2.87248
70.3601	-2.85334
176.526	47.492
176.539	47.4851
30.8249	-24.6465
41.3727	26.3394
178.297	54.9463
187.415	18.2794
202.144	-36.9046
222.551	65.9917
223.143	32.598
249.793	56.9391
248.959	-47.6041
283.158	0.664227
292.619	18.8764
298.219	32.8836
213.028	-61.7619
279.378	-6.147
128.862	-45.1537
286.01	5.4863
265.103	9.99315
73.5157	-68.505
83.4773	-69.88
86.9565	-70.375
220.193	-62.6629
83.6335	22.0199
83.63	22.0128
83.6337	22.0212
83.63	22.0114
83.6313	22.0123
83.6302	22.0114
83.63	22.0101
83.6302	22.0101
97.7134	-28.5714
274.271	-36.311
114.209	65.5795
186.108	7.29893
186.338	18.173
10.6616	40.883
263.255	43.7501
9.41105	-33.7075
140.881	-23.1727
204.024	-34.0921
50.6503	-37.2173
23.6443	30.7995
214.117	23.234
167.941	55.6721
188.971	27.9427
188.959	27.9268
202.421	58.426
202.395	58.4156
183.945	36.3385
187.039	44.1229
204.989	-31.6315
143.961	61.3435
80.2636	-25.3558
260.842	-0.293154
314.616	-42.6611
348.962	-59.0596
150.474	55.6781
170.076	13.5977
151.296	-7.7369
162.442	32.9549
191.522	30.6984
204.628	48.2871
354.988	-12.3273
9.62713	40.2624
9.69689	40.2731
9.6419	40.3312
10.4488	40.9819
10.5184	40.9944
10.459	41.0587
11.538	41.6595
11.6154	41.6662
11.5497	41.7165
13.0197	47.5609
13.0048	47.55
24.1681	15.8049
24.1505	15.7811
49.3759	-41.1045
133.371	51.3158
133.381	51.3049
185.622	29.8951
185.629	29.8864
204.226	-29.8953
210.867	54.3489
353.585	-36.0722
353.619	-36.0641
190.507	11.6423
74.2469	-4.84747
198.273	-19.5288
182.044	65.1704
188.907	12.5513
169.236	18.1066
350.088	8.17937
129.063	-26.4139
150.823	68.725
63.9941	-55.5823
168.307	-26.7871
187.846	25.7423
166.698	72.5708
32.7645	-0.162227
172.48	-1.71256
182.1	0.182789
192.415	33.8354
233.251	-0.65259
241.248	-1.21208
311.04	-10.7137
20.9418	-58.8086
189.914	-5.34236
174.772	-37.738
174.772	-37.7385
174.772	-37.7406
174.77	-37.7457
174.753	-37.748
147.54	14.3248
190.984	16.3742
245.087	17.5974
5.61685	1.39393
6.04409	-1.93679
6.8941	-1.59041
7.89749	0.582071
157.951	-1.69486
182.101	14.3311
182.852	15.3227
184.872	10.7905
188.478	13.0599
189.474	8.6937
190.395	9.64986
203.619	-1.3875
221.304	-0.405617
221.44	1.49648
329.28	-19.8622
331.009	-18.319
358.221	-0.471453
35.2859	19.9808
147.86	39.2705
185.148	33.7904
188.382	69.1673
215.016	6.41709
146.919	-30.95
175.02	65.7999
242.416	65.9403
256.175	60.7386
24.102	20.9479
130.204	13.2153
61.9515	-12.1892
91.9955	-8.58356
112.022	67.814
121.198	10.2523
130.006	29.8133
160.688	12.0628
164.629	1.57438
174.798	-13.8363
178.36	49.5274
209.274	19.3268
228.213	-9.09605
250.536	68.9488
250.742	39.8142
265.981	27.8792
291.954	73.9717
343.586	13.6869
16.8479	32.4037
180.786	44.5408
185.475	4.46495
188.901	-39.9113
1.76563	15.9017
12.7328	29.5531
17.1468	21.8004
20.1319	20.0529
29.3373	17.2087
35.4612	13.4662
38.627	24.6385
57.2394	12.925
139.698	21.2856
148.772	17.1032
156.857	12.3259
162.931	35.6626
194.529	23.4852
195.02	16.5338
196.748	23.6332
210.709	26.5186
223.377	13.8987
225.302	23.4817
229.218	19.0166
249.246	22.3543
254.911	18.5752
258.683	26.0456
335.508	19.871
335.588	19.992
336.473	19.9732
356.208	12.3571
207.329	-30.3074
9.27078	-1.16153
14.8458	0.0598478
16.5804	0.815917
